term,count,community,degree_centrality,betweenness,eigenvector
graph,9,22,0.04852824184566428,0.04609497577121164,0.13090974533970298
llms,9,14,0.046937151949085126,0.035656771129375646,0.2092062747069962
prediction,8,21,0.04136833731105807,0.030769253245679633,0.09181285178891427
reasoning,7,14,0.03659506762132061,0.026843775778759234,0.14760308785713402
diffusion,7,20,0.03818615751789976,0.0386277628078772,0.09500497763774023
causal,7,18,0.03659506762132061,0.02926646032062427,0.12724544846433355
visual,7,12,0.038981702466189344,0.029683718860810008,0.1005733059457924
flow,7,9,0.03818615751789976,0.027971976682655938,0.0816390532333089
multimodal,6,10,0.031821797931583136,0.022015273851794612,0.09358622379964629
tasks,6,7,0.03261734287987272,0.03137865487128107,0.10166688893215713
policy,6,15,0.03341288782816229,0.022016849373850345,0.07185823739678436
learning,6,0,0.03341288782816229,0.03662798515638291,0.08596302002411409
context,6,7,0.031821797931583136,0.0165596944957132,0.10471205586815178
quantum,6,6,0.031821797931583136,0.02135809033718575,0.06991696274159205
gradient,6,22,0.03102625298329356,0.0197269614084447,0.081540250420873
knowledge,6,14,0.03261734287987272,0.01977681751422694,0.12411480631367292
evaluation,6,12,0.03261734287987272,0.018731457441921444,0.12412561886031355
text,6,10,0.031821797931583136,0.020345612659083384,0.09768114859997121
optimization,6,6,0.03261734287987272,0.023735929508365585,0.07470566425067973
systems,6,17,0.03341288782816229,0.02374727890824211,0.038906063092289375
image,6,10,0.03023070803500398,0.016407578201899947,0.0980243586523033
human,6,14,0.03341288782816229,0.02097406408578807,0.08603930803806586
kernel,5,23,0.02466189339697693,0.010814341482890255,0.08209402874392065
rate,5,9,0.027048528241845664,0.016795710330187782,0.07035226135188159
control,5,0,0.027048528241845664,0.018939578886785345,0.05164567508961814
generation,5,10,0.027844073190135245,0.01687158082251406,0.06977295631733699
selection,5,8,0.027844073190135245,0.018709337001173464,0.05492463151020791
online,5,20,0.027844073190135245,0.023706832861634285,0.05485616552117841
fine,5,2,0.026252983293556086,0.014530448900351229,0.04366441750009893
model,5,4,0.027048528241845664,0.020956226689460754,0.0460863347329772
bayesian,5,8,0.026252983293556086,0.010049476950058579,0.06389591358990242
uncertainty,5,8,0.026252983293556086,0.012871076983224027,0.07582685951501814
detection,5,12,0.027048528241845664,0.017856348427498232,0.09824291093834751
speech,5,14,0.027048528241845664,0.016347909896343098,0.09784375354755223
inference,5,18,0.027844073190135245,0.018831446963713833,0.05438824619022285
space,5,3,0.027048528241845664,0.013167798221780646,0.0913743392623744
spatial,5,10,0.026252983293556086,0.016852623691340628,0.09123379825502712
alignment,5,15,0.027844073190135245,0.016733991187140296,0.05879470013005119
